0.hm	9280400	2005275	21.6076
1.hm	13481900	4073958	30.218
2.hm	5888800	2328926	39.5484
3.hm	25838100	10808407	41.8313
4.hm	0	0	0
5.hm	0	0	0
6.hm	194700	51990	26.7026
7.hm	2129500	785865	36.9037
8.hm	298500	89500	29.9832
9.hm	3972600	1244378	31.324
10.hm	150800	33405	22.1519
11.hm	1498300	457548	30.5378
12.hm	2019700	475216	23.529
13.hm	324300	46105	14.2168
14.hm	4666800	1251680	26.8209
15.hm	71900	13660	18.9986
16.hm	8003900	2054384	25.6673
17.hm	254000	28684	11.2929
18.hm	11341700	3056222	26.9468
19.hm	3464400	774209	22.3476
20.hm	7057400	1761547	24.9603
21.hm	13711800	3478197	25.3665
22.hm	538700	74376	13.8066
23.hm	18632200	4699682	25.2234
24.hm	2800	298	10.6429
25.hm	15334100	3423317	22.3249
26.hm	0	0	0
27.hm	10311900	1969923	19.1034
28.hm	100	0	0
29.hm	8244100	1484711	18.0094
30.hm	306300	25697	8.38949
31.hm	5330300	864324	16.2153
32.hm	5652200	951571	16.8354
33.hm	1068600	96071	8.99036
34.hm	11547600	2223587	19.2558
35.hm	179300	10245	5.71389
36.hm	17023200	3516146	20.655
37.hm	304200	14959	4.91749
38.hm	21949200	5476750	24.9519
39.hm	2738500	276488	10.0963
40.hm	22110200	6958703	31.4728
41.hm	23801400	9291330	39.0369
42.hm	8619100	1960152	22.742
43.hm	20764800	6524474	31.4208
44.hm	2360000	243275	10.3083
45.hm	17415000	4808297	27.6101
46.hm	1849800	190572	10.3023
47.hm	11684700	3039086	26.0091
48.hm	5181300	1080776	20.8592
49.hm	4914600	1015751	20.668
50.hm	9938800	2291199	23.0531
51.hm	879300	81646	9.28534
52.hm	8953700	1612605	18.0105
53.hm	0	0	0
54.hm	7197300	891711	12.3895
55.hm	579100	35547	6.13832
56.hm	104200	4447	4.26775
57.hm	100	0	0
58.hm	800	0	0
59.hm	0	0	0
60.hm	0	0	0
61.hm	0	0	0
62.hm	0	0	0
63.hm	29781600	6513587	21.8712
