time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	5.74558e-05	1187.57
1	5.74558e-05	0.000116404	217.855
2	0.000116404	0.000176925	294.557
3	0.000176925	0.000239103	386.48
4	0.000239103	0.000303034	477.117
5	0.000303034	0.000368818	529.071
6	0.000368818	0.000436566	532.785
7	0.000436566	0.000506398	505.453
8	0.000506398	0.000578448	466.994
9	0.000578448	0.000652861	430.155
10	0.000652861	0.000729796	388.509
11	0.000729796	0.000809432	388.509
12	0.000809432	0.000891964	357.805
13	0.000891964	0.000977612	357.805
14	0.000977612	0.00106662	346.356
15	0.00106662	0.00115926	346.356
16	0.00115926	0.00125584	344.173
17	0.00125584	0.00135672	344.173
18	0.00135672	0.00146229	343.224
19	0.00146229	0.00157302	343.224
20	0.00157302	0.00168942	338.054
21	0.00168942	0.00181212	338.054
22	0.00181212	0.00194183	326.68
23	0.00194183	0.00207941	326.68
24	0.00207941	0.00222588	310.445
25	0.00222588	0.00238245	310.445
26	0.00238245	0.00255063	292.941
27	0.00255063	0.00273228	292.941
28	0.00273228	0.00292974	279.006
29	0.00292974	0.00314603	279.006
30	0.00314603	0.00338514	274.107
31	0.00338514	0.00365243	274.107
32	0.00365243	0.00395547	285.042
33	0.00395547	0.00430529	285.042
34	0.00430529	0.00471905	323.506
35	0.00471905	0.00522545	323.506
36	0.00522545	0.00587831	415.609
37	0.00587831	0.00679846	415.609
38	0.00679846	0.00837148	559.684
39	0.00837148	inf	559.684
