time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	6.06719e-05	1304.34
1	6.06719e-05	0.00012292	385.769
2	0.00012292	0.000186828	394.526
3	0.000186828	0.000252487	399.613
4	0.000252487	0.000319996	447.473
5	0.000319996	0.000389462	483.468
6	0.000389462	0.000461002	482.522
7	0.000461002	0.000534743	451.78
8	0.000534743	0.000610826	409.815
9	0.000610826	0.000689404	372.908
10	0.000689404	0.000770646	340.919
11	0.000770646	0.000854739	340.919
12	0.000854739	0.000941891	331.641
13	0.000941891	0.00103233	331.641
14	0.00103233	0.00112632	343.566
15	0.00112632	0.00122415	343.566
16	0.00122415	0.00132614	361.307
17	0.00132614	0.00143266	361.307
18	0.00143266	0.00154414	372.562
19	0.00154414	0.00166106	372.562
20	0.00166106	0.00178398	368.368
21	0.00178398	0.00191355	368.368
22	0.00191355	0.00205053	346.841
23	0.00205053	0.00219581	346.841
24	0.00219581	0.00235047	314.137
25	0.00235047	0.0025158	314.137
26	0.0025158	0.0026934	280.625
27	0.0026934	0.00288521	280.625
28	0.00288521	0.00309373	255.884
29	0.00309373	0.00332213	255.884
30	0.00332213	0.00357462	247.307
31	0.00357462	0.00385687	247.307
32	0.00385687	0.00417687	263.774
33	0.00417687	0.00454628	263.774
34	0.00454628	0.00498319	325.371
35	0.00498319	0.00551794	325.371
36	0.00551794	0.00620734	491.393
37	0.00620734	0.007179	491.393
38	0.007179	0.00884007	809.578
39	0.00884007	inf	809.578
