0.hm	9372400	2002133	21.362
1.hm	13178200	3964934	30.0871
2.hm	6033000	2369634	39.2779
3.hm	26003200	10830265	41.6497
4.hm	0	0	0
5.hm	0	0	0
6.hm	204800	56519	27.5972
7.hm	2203900	795158	36.0796
8.hm	192600	47398	24.6096
9.hm	3573400	1112548	31.1342
10.hm	275500	67857	24.6305
11.hm	1614600	490783	30.3966
12.hm	2096300	492993	23.5173
13.hm	320700	46710	14.565
14.hm	4618400	1245555	26.9694
15.hm	69100	12342	17.8611
16.hm	8045700	2036443	25.3109
17.hm	273800	38045	13.8952
18.hm	11339000	3026630	26.6922
19.hm	3509600	786488	22.4096
20.hm	7041900	1723722	24.4781
21.hm	13762000	3490784	25.3654
22.hm	521900	72018	13.7992
23.hm	18598200	4659539	25.0537
24.hm	2700	224	8.2963
25.hm	15332900	3408305	22.2287
26.hm	0	0	0
27.hm	10179600	1923477	18.8954
28.hm	100	0	0
29.hm	8180600	1459408	17.8399
30.hm	340200	28023	8.23721
31.hm	5195400	823356	15.8478
32.hm	5841500	977037	16.7258
33.hm	1001600	89748	8.96046
34.hm	11679900	2234455	19.1308
35.hm	179100	9971	5.56728
36.hm	17150200	3516830	20.5061
37.hm	326100	16105	4.93867
38.hm	22075400	5503206	24.9291
39.hm	2948000	303585	10.298
40.hm	21784100	6828728	31.3473
41.hm	24697200	9623770	38.967
42.hm	7690500	1547271	20.1193
43.hm	21149800	6574054	31.0833
44.hm	2066200	198822	9.62259
45.hm	17400300	4709128	27.0635
46.hm	1679200	164809	9.81473
47.hm	11615300	2966814	25.5423
48.hm	5079600	1041476	20.5031
49.hm	4826500	981933	20.3446
50.hm	9977300	2274731	22.7991
51.hm	832000	75891	9.12151
52.hm	9002100	1607933	17.8618
53.hm	100	0	0
54.hm	7259300	890831	12.2716
55.hm	582400	35418	6.08139
56.hm	104000	4596	4.41923
57.hm	0	0	0
58.hm	800	0	0
59.hm	0	0	0
60.hm	0	0	0
61.hm	0	0	0
62.hm	0	0	0
63.hm	29920600	6498012	21.7175
