0.hm	9375900	2009117	21.4285
1.hm	13268600	3984183	30.0272
2.hm	6100100	2450321	40.1685
3.hm	25707200	10659484	41.465
4.hm	0	0	0
5.hm	0	0	0
6.hm	222100	57085	25.7024
7.hm	1819500	666741	36.6442
8.hm	446700	122501	27.4236
9.hm	4171800	1335947	32.0233
10.hm	143700	29263	20.364
11.hm	1693700	515001	30.4069
12.hm	1867900	437553	23.4249
13.hm	367800	57003	15.4984
14.hm	4555800	1201586	26.3749
15.hm	69700	12590	18.0631
16.hm	7982000	2035216	25.4976
17.hm	258500	31589	12.2201
18.hm	11341000	3021721	26.6442
19.hm	3449300	765715	22.1991
20.hm	7058500	1749156	24.7808
21.hm	13812100	3495348	25.3064
22.hm	532400	74906	14.0695
23.hm	18598200	4668834	25.1037
24.hm	3000	298	9.93333
25.hm	15309500	3411349	22.2826
26.hm	0	0	0
27.hm	10306200	1970001	19.1147
28.hm	100	0	0
29.hm	8249100	1483781	17.9872
30.hm	318200	26728	8.39975
31.hm	5218500	835849	16.017
32.hm	5775500	974931	16.8805
33.hm	988700	88094	8.91008
34.hm	11656400	2234642	19.1709
35.hm	166400	9166	5.50841
36.hm	17195800	3559759	20.7013
37.hm	311500	15557	4.99422
38.hm	22137300	5529599	24.9787
39.hm	2896000	302147	10.4333
40.hm	21981600	6925013	31.5037
41.hm	24439600	9448348	38.66
42.hm	7789300	1592995	20.4511
43.hm	21180700	6566859	31.004
44.hm	2022400	195341	9.65887
45.hm	17599100	4763573	27.0671
46.hm	1543700	146805	9.50994
47.hm	11960600	3068194	25.6525
48.hm	4626800	900622	19.4653
49.hm	5116200	1072903	20.9707
50.hm	9683200	2209750	22.8205
51.hm	857900	78666	9.1696
52.hm	8889600	1604568	18.0499
53.hm	0	0	0
54.hm	7424000	925146	12.4616
55.hm	596400	35666	5.98021
56.hm	112100	4819	4.29884
57.hm	0	0	0
58.hm	1500	26	1.73333
59.hm	0	0	0
60.hm	0	0	0
61.hm	0	0	0
62.hm	0	0	0
63.hm	29762700	6460591	21.707
